SMILES,Solvent,Quantum yield
CN(C)c1ccc2nc3ccc(N(C)C)cc3[s+]c2c1,OCC(O)CO,-1.5228787452803376
O=C(O)CCCc1cc(C#Cc2ccccc2)c2ccc3c(C#Cc4ccccc4)cc(C#Cc4ccccc4)c4ccc1c2c34,ClC(Cl)(Cl)Cl,-0.25181197299379954
CCN(CC)c1ccc2nc3c4ccccc4c(=O)cc-3oc2c1,ClC(Cl)(Cl)Cl,-0.14874165128092473
CCN(CC)c1ccc2nc3c4ccccc4c(=O)cc-3oc2c1,CCCCOCCCC,-0.14266750356873156
CCN(CC)c1ccc2nc3c4ccccc4c(=O)cc-3oc2c1,CCCC#N,-0.11350927482751812
CCN(CC)c1ccc2nc3c4ccccc4c(=O)cc-3oc2c1,CC1COC(=O)O1,-0.14266750356873156
CCN(CC)c1ccc2nc3c4ccccc4c(=O)cc-3oc2c1,CCCCCCCCCCO,-0.1938200260161128
CCN(CC)c1ccc2nc3c4ccccc4c(=O)cc-3oc2c1,CCCCCO,-0.2218487496163564
CCN(CC)c1ccc2nc3c4ccccc4c(=O)cc-3oc2c1,OCCO,-0.4089353929735008
CCN(CC)c1ccc2nc3c4ccccc4c(=O)cc-3oc2c1,OCC(O)CO,-0.46852108295774486
CCN(CC)c1ccc2nc3c4ccccc4c(=O)cc-3oc2c1,OCC(F)(F)F,-0.619788758288394
CCN(CC)c1ccc2nc3c4ccccc4c(=O)cc-3oc2c1,OC(C(F)(F)F)C(F)(F)F,-1.0457574905606752
O=c1c2ccccc2sc2ccccc12,CCCCOC(C)=O,-2.1079053973095196
O=c1c2ccccc2sc2ccccc12,OCCO,-0.38721614328026455
Cc1ccc2sc3cc(CCC(=O)O)ccc3c(=O)c2c1,OCCO,-0.638272163982407
O=Cc1ccc(N(c2ccc(C=O)cc2)c2ccc(-c3ccc4c(c3)C(=O)c3ccccc3C4=O)cc2)cc1,ClC(Cl)(Cl)Cl,-0.9538952127539614
Nc1ccc(-c2ccc3c(c2)C(=O)c2ccccc2C3=O)cc1,ClC(Cl)(Cl)Cl,-0.5338741295818008
O=C1c2ccccc2C(=O)c2cc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)ccc21,ClC(Cl)(Cl)Cl,-0.48678239993206096
Cc1ccc(N(c2ccc(C)cc2)c2ccc(-c3ccc4c(c3)C(=O)c3ccccc3C4=O)cc2)cc1,ClC(Cl)(Cl)Cl,-0.6097716375308699
COc1ccc(N(c2ccc(OC)cc2)c2ccc(-c3ccc4c(c3)C(=O)c3ccccc3C4=O)cc2)cc1,ClC(Cl)(Cl)Cl,-1.269217724333611
CC1=CC(C)=[N+]2C1=C(c1ccccc1)c1c(C)cc(C)n1[B-]2(F)F,CC(=O)C(C)(C)C,-0.2596373105057561
COc1ccccc1C1=C2C(C)=CC(C)=[N+]2[B-](F)(F)n2c(C)cc(C)c21,CC(=O)C(C)(C)C,-0.13076828026902382
COc1cccc(OC)c1C1=C2C(C)=CC(C)=[N+]2[B-](F)(F)n2c(C)cc(C)c21,CC(=O)C(C)(C)C,-0.1938200260161128
COc1cc(OC)c(C2=C3C(C)=CC(C)=[N+]3[B-](F)(F)n3c(C)cc(C)c32)c(OC)c1,CC(=O)C(C)(C)C,-0.16115090926274472
Nc1ccc2c3cccc4cccc(c5cccc1c52)c43,CCCCOCCCC,-0.619788758288394
CC(=O)Nc1ccc2c3cccc4cccc(c5cccc1c52)c43,CCCCOCCCC,-0.3372421683184259
Clc1nc(Cl)nc(Nc2ccc3c4cccc5cccc(c6cccc2c63)c54)n1,CCCCOCCCC,-0.9208187539523752
COc1nc(Cl)nc(Nc2ccc3c4cccc5cccc(c6cccc2c63)c54)n1,CCCCOCCCC,-0.431798275933005
COc1nc(Nc2ccc3c4cccc5cccc(c6cccc2c63)c54)nc(OC)n1,CCCCOCCCC,-0.3372421683184259
Clc1nc(Nc2ccccc2)nc(Nc2ccc3c4cccc5cccc(c6cccc2c63)c54)n1,CCCCOCCCC,-0.3098039199714863
c1ccc(Nc2nc(Nc3ccccc3)nc(Nc3ccc4c5cccc6cccc(c7cccc3c74)c65)n2)cc1,CCCCOCCCC,-0.3010299956639812
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCOc1nnc(Cl)nn1,OCC(F)(F)F,-0.585026652029182
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCOc1nnc(Cl)nn1,OCC(F)(F)F,-0.5528419686577808
C=CCOc1nnc(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)nn1,OCC(F)(F)F,-2.0
C=CCOc1nnc(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)nn1,OCC(F)(F)F,-1.6989700043360187
COc1nnc(Cl)nn1,OCC(F)(F)F,-0.585026652029182
COc1nc(Cl)nc(Nc2ccc3cc4ccccc4cc3c2)n1,CCCCOCCCC,-0.6020599913279624
COc1nc(Nc2ccc3cc4ccccc4cc3c2)nc(OC)n1,CCCCOCCCC,-0.4089353929735008
Clc1nc(Nc2ccccc2)nc(Nc2ccc3cc4ccccc4cc3c2)n1,CCCCOCCCC,-0.4559319556497244
c1ccc(Nc2nc(Nc3ccccc3)nc(Nc3ccc4cc5ccccc5cc4c3)n2)cc1,CCCCOCCCC,-0.38721614328026455
Nc1ccc2ccc3cccc4ccc1c2c34,CCCCOCCCC,-0.21467016498923297
Nc1cc2ccc3cccc4ccc(c1)c2c34,CCCCOCCCC,-0.721246399047171
CC(=O)Nc1ccc2ccc3cccc4ccc1c2c34,CCCCOCCCC,-0.5686362358410126
CC(=O)Nc1cc2ccc3cccc4ccc(c1)c2c34,CCCCOCCCC,-1.0
Clc1nc(Cl)nc(Nc2cc3ccc4cccc5ccc(c2)c3c45)n1,CCCCOCCCC,-1.2218487496163564
COc1nc(Nc2ccc3ccc4cccc5ccc2c3c45)nc(OC)n1,CCCCOCCCC,-0.24412514432750865
COc1nc(Nc2cc3ccc4cccc5ccc(c2)c3c45)nc(OC)n1,CCCCOCCCC,-0.8239087409443188
c1ccc(Nc2nc(Nc3ccccc3)nc(Nc3ccc4ccc5cccc6ccc3c4c56)n2)cc1,CCCCOCCCC,-0.21467016498923297
c1ccc(Nc2nc(Nc3ccccc3)nc(Nc3cc4ccc5cccc6ccc(c3)c4c56)n2)cc1,CCCCOCCCC,-0.6777807052660807
CN(C)c1ccc(-c2ccc3n2[B-](F)(F)[N+]2=C(c4ccccc4)C=CC2=C3C(F)(F)F)cc1,ClC(Cl)(Cl)Cl,-0.46852108295774486
Cc1cc(=O)oc2c3c4c(cc12)CCCN4CCC3,CCCCl,-0.09691001300805639
Cc1cc(=O)oc2c3c4c(cc12)CCCN4CCC3,CCC#N,-0.045757490560675115
Cc1cc(=O)oc2c3c4c(cc12)CCCN4CCC3,OCC(F)(F)F,-0.07572071393811836
Cc1cc(=O)oc2c3c4c(cc12)CCCN4CCC3,OC(C(F)(F)F)C(F)(F)F,-0.06550154875643228
O=c1cc(C(F)(F)F)c2cc3c4c(c2o1)CCCN4CCC3,CCCCCCCl,-0.022276394711152253
O=c1cc(C(F)(F)F)c2cc3c4c(c2o1)CCCN4CCC3,CCCCl,-0.11350927482751812
O=c1cc(C(F)(F)F)c2cc3c4c(c2o1)CCCN4CCC3,CCC#N,-0.11918640771920865
O=c1cc(C(F)(F)F)c2cc3c4c(c2o1)CCCN4CCC3,OCC(F)(F)F,-0.3279021420642826
COc1ncccc1B(O)O,CCCCCCCCO,-0.4988037579729113
COc1ncccc1B(O)O,CCCCCCCC,-0.1544059068399757
Cc1cc(C#Cc2ccccc2)c2ccc3c(C#Cc4ccccc4)cc(C#Cc4ccccc4)c4ccc1c2c43,ClC(Cl)(Cl)Cl,-0.25181197299379954
N#Cc1c(-n2c3ccccc3c3ccccc32)c(C#N)c(-n2c3ccccc3c3ccccc32)c(-n2c3ccccc3c3ccccc32)c1-n1c2ccccc2c2ccccc21,c1ccc2c(c1)c1ccccc1n2-c1ccc(-c2ccc(-n3c4ccccc4c4ccccc43)cc2)cc1,-0.08092190762392612
CC(C)(C)c1ccc(-c2nnc(-c3c(-n4c5ccccc5c5ccccc54)c(-n4c5ccccc5c5ccccc54)c(-c4nnc(-c5ccc(C(C)(C)C)cc5)o4)c(-n4c5ccccc5c5ccccc54)c3-n3c4ccccc4c4ccccc43)o2)cc1,c1cc(-n2c3ccccc3c3ccccc32)nc(-n2c3ccccc3c3ccccc32)c1,-0.05060999335508721
N#Cc1cc(-n2c3ccccc3c3ccccc32)c(C#N)cc1-n1c2ccccc2c2ccccc21,c1ccc2c(c1)c1ccccc1n2P1(n2c3ccccc3c3ccccc32)=NP(n2c3ccccc3c3ccccc32)(n2c3ccccc3c3ccccc32)=NP(n2c3ccccc3c3ccccc32)(n2c3ccccc3c3ccccc32)=N1,-0.07058107428570728
N#Cc1cc(-n2c3ccccc3c3ccccc32)c(C#N)cc1-n1c2ccccc2c2ccccc21,c1cc(-c2cccc(-n3c4ccccc4c4ccccc43)c2)cc(-n2c3ccccc3c3ccccc32)c1,-0.060480747381381476
N#Cc1c(-n2c3ccccc3c3ccccc32)c(-n2c3ccccc3c3ccccc32)c(-n2c3ccccc3c3ccccc32)c(-n2c3ccccc3c3ccccc32)c1-n1c2ccccc2c2ccccc21,c1cc(-c2cccc(-n3c4ccccc4c4ccccc43)c2)cc(-n2c3ccccc3c3ccccc32)c1,-0.18708664335714442
N#Cc1c(-n2c3ccccc3c3ccccc32)c(-n2c3ccc(-c4ccccc4)cc3c3cc(-c4ccccc4)ccc32)c(-n2c3ccccc3c3ccccc32)c(-n2c3ccc(-c4ccccc4)cc3c3cc(-c4ccccc4)ccc32)c1-n1c2ccccc2c2ccccc21,c1cc(-c2cccc(-n3c4ccccc4c4ccccc43)c2)cc(-n2c3ccccc3c3ccccc32)c1,-0.09691001300805639
Cc1cc(-n2c3ccccc3c3ccccc32)c(-n2c3ccccc3c3ccccc32)cc1C#N,c1cc(-c2cccc(-n3c4ccccc4c4ccccc43)c2)cc(-n2c3ccccc3c3ccccc32)c1,-0.05060999335508721
Cc1cc(-n2c3ccccc3c3ccccc32)c(-n2c3ccccc3c3ccccc32)cc1C#N,c1ccc2c(c1)c1ccccc1n2-c1ccc2sc3ccc(-n4c5ccccc5c5ccccc54)cc3c2c1,-0.07520400420208784
Cc1cc(-n2c3ccccc3c3ccccc32)c(-n2c3ccccc3c3ccccc32)cc1C#N,c1ccc2c(c1)c1ccccc1n2-c1ccc2sc3ccc(-n4c5ccccc5c5cccnc54)cc3c2c1,-0.00788851221305034
Cc1cc(-n2c3ccccc3c3ccccc32)c(-n2c3ccccc3c3ccccc32)cc1C#N,c1ccc2c(c1)c1cccnc1n2-c1ccc2sc3ccc(-n4c5ccccc5c5cccnc54)cc3c2c1,-0.056011124926228104
CC1(C)c2ccccc2N(c2cc(C#N)c(C#N)cc2N2c3ccccc3C(C)(C)c3ccccc32)c2ccccc21,c1ccc2c(c1)c1ccccc1n2-c1ccc(-c2ccc(-n3c4ccccc4c4ccccc43)cc2)cc1,-0.22841251911874466
N#Cc1cc(N2c3ccccc3Oc3ccccc32)c(N2c3ccccc3Oc3ccccc32)cc1C#N,c1ccc2c(c1)c1ccccc1n2-c1ccc(-c2ccc(-n3c4ccccc4c4ccccc43)cc2)cc1,-1.193820026016113
N#Cc1cc(N2c3ccccc3Sc3ccccc32)c(N2c3ccccc3Sc3ccccc32)cc1C#N,c1ccc2c(c1)c1ccccc1n2-c1ccc(-c2ccc(-n3c4ccccc4c4ccccc43)cc2)cc1,-1.337242168318426
N#Cc1c(-n2c3ccccc3c3ccccc32)nc(-n2c3ccccc3c3ccccc32)c(C#N)c1-c1ccccc1,c1cc(-c2cccc(-n3c4ccccc4c4ccccc43)c2)cc(-n2c3ccccc3c3ccccc32)c1,-0.3036436112666679
N#Cc1c(-n2c3ccccc3c3ccccc32)c(F)c(-n2c3ccccc3c3ccccc32)c(F)c1-n1c2ccccc2c2ccccc21,c1ccc([Si](c2ccccc2)(c2ccc(-n3c4ccccc4c4ccccc43)cc2)c2ccc(-n3c4ccccc4c4ccccc43)cc2)cc1,-0.13076828026902382
N#Cc1c(-n2c3ccccc3c3ccccc32)c(F)c(-n2c3ccccc3c3ccccc32)c(-n2c3ccccc3c3ccccc32)c1-n1c2ccccc2c2ccccc21,c1ccc([Si](c2ccccc2)(c2ccc(-n3c4ccccc4c4ccccc43)cc2)c2ccc(-n3c4ccccc4c4ccccc43)cc2)cc1,0.0
Cc1c(C)c(B(c2c(C)c(C)c(C#N)c(C)c2C)c2c(C)c(C)c(N3c4ccccc4Oc4ccccc43)c(C)c2C)c(C)c(C)c1C#N,c1ccc([Si](c2ccccc2)(c2ccc(-n3c4ccccc4c4ccccc43)cc2)c2ccc(-n3c4ccccc4c4ccccc43)cc2)cc1,-0.17392519729917355
Cc1c(C)c(B(c2c(C)c(C)c(N3c4ccccc4Oc4ccccc43)c(C)c2C)c2c(C)c(C)c(N3c4ccccc4Oc4ccccc43)c(C)c2C)c(C)c(C)c1C#N,c1ccc([Si](c2ccccc2)(c2ccc(-n3c4ccccc4c4ccccc43)cc2)c2ccc(-n3c4ccccc4c4ccccc43)cc2)cc1,-0.12493873660829995
COc1ccc2cc3c(C)cc(=O)oc3cc2c1,OCC(F)(F)F,-0.4814860601221125
O=C1c2ccccc2-c2ccc(Nc3nc(Cl)nc(Cl)n3)c3cccc1c23,CCCCOCCCC,-1.6989700043360187
O=C1c2ccccc2-c2ccc(Nc3nc(Cl)nc(Cl)n3)c3cccc1c23,Clc1ccccc1,-0.638272163982407
O=C1c2ccccc2-c2ccc(Nc3nc(Cl)nc(Cl)n3)c3cccc1c23,N#Cc1ccccc1,-0.36653154442041347
O=C1c2ccccc2-c2ccc(Nc3nc(Cl)nc(Cl)n3)c3cccc1c23,O=C1CCCCC1,-0.494850021680094
COc1nc(Cl)nc(Nc2ccc3c4c(cccc24)C(=O)c2ccccc2-3)n1,CCCCOCCCC,-1.3010299956639813
COc1nc(Cl)nc(Nc2ccc3c4c(cccc24)C(=O)c2ccccc2-3)n1,Clc1ccccc1,-0.3010299956639812
COc1nc(Cl)nc(Nc2ccc3c4c(cccc24)C(=O)c2ccccc2-3)n1,N#Cc1ccccc1,-0.23657200643706275
COc1nc(Cl)nc(Nc2ccc3c4c(cccc24)C(=O)c2ccccc2-3)n1,O=C1CCCCC1,-0.2924298239020636
COc1nc(Nc2ccc3c4c(cccc24)C(=O)c2ccccc2-3)nc(OC)n1,CCCCOCCCC,-0.6575773191777937
COc1nc(Nc2ccc3c4c(cccc24)C(=O)c2ccccc2-3)nc(OC)n1,Clc1ccccc1,-0.1804560644581313
COc1nc(Nc2ccc3c4c(cccc24)C(=O)c2ccccc2-3)nc(OC)n1,N#Cc1ccccc1,-0.1938200260161128
COc1nc(Nc2ccc3c4c(cccc24)C(=O)c2ccccc2-3)nc(OC)n1,O=C1CCCCC1,-0.17392519729917355
COc1ccc2c3c(cccc13)C(=O)c1ccccc1-2,CCCCOCCCC,-2.0
COc1ccc2c3c(cccc13)C(=O)c1ccccc1-2,Clc1ccccc1,-0.38721614328026455
COc1ccc2c3c(cccc13)C(=O)c1ccccc1-2,N#Cc1ccccc1,-0.16115090926274472
COc1ccc2c3c(cccc13)C(=O)c1ccccc1-2,O=C1CCCCC1,-0.24412514432750865
CC(=O)Nc1ccc2c3c(cccc13)C(=O)c1ccccc1-2,CCCCOCCCC,-1.154901959985743
CC(=O)Nc1ccc2c3c(cccc13)C(=O)c1ccccc1-2,Clc1ccccc1,-0.2924298239020636
CC(=O)Nc1ccc2c3c(cccc13)C(=O)c1ccccc1-2,N#Cc1ccccc1,-0.20760831050174613
CC(=O)Nc1ccc2c3c(cccc13)C(=O)c1ccccc1-2,O=C1CCCCC1,-0.1938200260161128
Nc1ccc2c3c(cccc13)C(=O)c1ccccc1-2,CCCCOCCCC,-0.46852108295774486
Nc1ccc2c3c(cccc13)C(=O)c1ccccc1-2,Clc1ccccc1,-0.6020599913279624
Nc1ccc2c3c(cccc13)C(=O)c1ccccc1-2,N#Cc1ccccc1,-0.8538719643217619
Nc1ccc2c3c(cccc13)C(=O)c1ccccc1-2,O=C1CCCCC1,-0.8239087409443188
CN(CCO)c1ccc(/N=N/c2ccc([N+](=O)[O-])cc2)cc1,OCCO,-2.853871964321762
CN(CCO)c1ccc(/N=N/c2ccc([N+](=O)[O-])cc2)cc1,OCC(O)CO,-2.958607314841775
CN(CCO)c1ccc(/N=N/c2ccc([N+](=O)[O-])cc2)cc1,Oc1ccccc1,-4.366531544420414
CC(C)(C)c1cc2c3cc(C(C)(C)C)c(-c4cc5cc6c7cccc8cccc(c9cc(C(C)(C)C)cc(c5cc4C(C)(C)C)c96)c87)cc3cc3c4cccc5cccc(c(c1)c23)c54,CC1CCCCC1,-0.1938200260161128
CC(C)(C)c1ccc2cc3c4cccc5cccc(c6cc(C(C)(C)C)cc(c2c1)c63)c54,CC1CCCCC1,-0.13076828026902382
CCCCCCOc1ccc(C#Cc2ccc(C#Cc3ccc(OCCCCCC)c(OCCCCCC)c3)c3nsnc23)cc1OCCCCCC,COc1ccccc1,-0.24412514432750865
CCCCCCOc1ccc(C#Cc2ccc(C#Cc3ccc(OCCCCCC)c(OCCCCCC)c3)c3nsnc23)cc1OCCCCCC,ClCCCl,-0.3372421683184259
CCCCCCOc1ccc(C#Cc2ccc(C#CC#Cc3ccc(C#Cc4ccc(OCCCCCC)c(OCCCCCC)c4)c4nsnc34)c3nsnc23)cc1OCCCCCC,COc1ccccc1,-0.36653154442041347
CCCCCCOc1ccc(C#Cc2ccc(C#CC#Cc3ccc(C#Cc4ccc(OCCCCCC)c(OCCCCCC)c4)c4nsnc34)c3nsnc23)cc1OCCCCCC,ClCCCl,-0.5686362358410126
CCCCCCOc1ccc(C#Cc2ccc(-c3ccc(-c4ccc(C#Cc5ccc(OCCCCCC)c(OCCCCCC)c5)s4)c4nsnc34)s2)cc1OCCCCCC,COc1ccccc1,-0.3187587626244128
CCCCCCOc1ccc(C#Cc2ccc(-c3ccc(-c4ccc(C#Cc5ccc(OCCCCCC)c(OCCCCCC)c5)s4)c4nsnc34)s2)cc1OCCCCCC,ClCCCl,-0.46852108295774486
CCCCCCC(CCCCCC)n1c(=O)c2c3ccc4cccc5c6cccc7ccc(c2c1=O)c(c76)c3c45,ClC(Cl)(Cl)Cl,-0.431798275933005
COC(=O)C(Cc1ccc2oc(-c3ccc(N(C)c4ccccc4)cc3)nc2c1)NC(=O)OC(C)(C)C,CC(C)CO,-0.6989700043360187
COC(=O)C(Cc1ccc2oc(-c3ccc(N(C)c4ccccc4)cc3)nc2c1)NC(=O)OC(C)(C)C,CCCCCO,-0.5528419686577808
COC(=O)C(Cc1ccc2oc(-c3ccc(N(C)c4ccccc4)cc3)nc2c1)NC(=O)OC(C)(C)C,CCCCCCO,-0.6575773191777937
COC(=O)C(Cc1ccc2oc(-c3ccc(N(C)c4ccccc4)cc3)nc2c1)NC(=O)OC(C)(C)C,OC1CCCCC1,-0.744727494896694
COC(=O)C(Cc1ccc2oc(-c3ccc(N(C)c4ccccc4)cc3)nc2c1)NC(=O)OC(C)(C)C,CCCCCCCO,-0.6777807052660807
COC(=O)C(Cc1ccc2oc(-c3ccc(N(C)c4ccccc4)cc3)nc2c1)NC(=O)OC(C)(C)C,OCCO,-1.5228787452803376
COC(=O)C(Cc1ccc2oc(-c3ccc(N(C)c4ccccc4)cc3)nc2c1)NC(=O)OC(C)(C)C,CC(O)CO,-0.958607314841775
COC(=O)C(Cc1ccc2oc(-c3ccc(N(C)c4ccccc4)cc3)nc2c1)NC(=O)OC(C)(C)C,NC=O,-1.6989700043360187
COC(=O)C(Cc1ccc2oc(-c3ccc(N(C)c4ccccc4)cc3)nc2c1)NC(=O)OC(C)(C)C,CCCCC,0.0
COC(=O)C(Cc1ccc2oc(-c3ccc(N(C)c4ccccc4)cc3)nc2c1)NC(=O)OC(C)(C)C,CCC(C)CC,-0.01322826573375516
COC(=O)C(Cc1ccc2oc(-c3ccc(N(C)c4ccccc4)cc3)nc2c1)NC(=O)OC(C)(C)C,CC(C)CC(C)(C)C,0.0
COC(=O)C(Cc1ccc2oc(-c3ccc(N(C)c4ccccc4)cc3)nc2c1)NC(=O)OC(C)(C)C,CCCCCCCCC,-0.022276394711152253
COC(=O)C(Cc1ccc2oc(-c3ccc(N(C)c4ccccc4)cc3)nc2c1)NC(=O)OC(C)(C)C,CCCCCCCCCC,0.0
COC(=O)C(Cc1ccc2oc(-c3ccc(N(C)c4ccccc4)cc3)nc2c1)NC(=O)OC(C)(C)C,COCCOC,-1.154901959985743
COC(=O)C(Cc1ccc2oc(-c3ccc(N(C)c4ccccc4)cc3)nc2c1)NC(=O)OC(C)(C)C,CC1CCCO1,-0.28399665636520083
COC(=O)C(Cc1ccc2oc(-c3ccc(N(C)c4ccccc4)cc3)nc2c1)NC(=O)OC(C)(C)C,CC1COC(=O)O1,-0.958607314841775
COC(=O)C(Cc1ccc2oc(-c3ccc(N(C)c4ccccc4)cc3)nc2c1)NC(=O)OC(C)(C)C,Cc1ccccc1C,-0.07572071393811836
COC(=O)C(Cc1ccc2oc(-c3ccc(N(C)C)cc3)nc2c1)NC(=O)OC(C)(C)C,CC(C)CO,0.0
COC(=O)C(Cc1ccc2oc(-c3ccc(N(C)C)cc3)nc2c1)NC(=O)OC(C)(C)C,CCCCCO,0.0
COC(=O)C(Cc1ccc2oc(-c3ccc(N(C)C)cc3)nc2c1)NC(=O)OC(C)(C)C,CCCCCCO,0.0
COC(=O)C(Cc1ccc2oc(-c3ccc(N(C)C)cc3)nc2c1)NC(=O)OC(C)(C)C,OC1CCCCC1,-0.040958607678906384
COC(=O)C(Cc1ccc2oc(-c3ccc(N(C)C)cc3)nc2c1)NC(=O)OC(C)(C)C,CCCCCCCO,0.0
COC(=O)C(Cc1ccc2oc(-c3ccc(N(C)C)cc3)nc2c1)NC(=O)OC(C)(C)C,OCCO,-0.11918640771920865
COC(=O)C(Cc1ccc2oc(-c3ccc(N(C)C)cc3)nc2c1)NC(=O)OC(C)(C)C,CC(O)CO,-0.004364805402450088
COC(=O)C(Cc1ccc2oc(-c3ccc(N(C)C)cc3)nc2c1)NC(=O)OC(C)(C)C,NC=O,-0.14874165128092473
COC(=O)C(Cc1ccc2oc(-c3ccc(N(C)C)cc3)nc2c1)NC(=O)OC(C)(C)C,CCCCC,-0.022276394711152253
